USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MO	29051010600	4126589	48953	       1.593	       0.019	 38.5720067	 -92.1921091                                                                                                                         
MO	29051010701	24547722	96046	       9.478	       0.037	 38.5657481	 -92.2500255                                                                                                                        
MO	29051010702	9343569	31501	       3.608	       0.012	 38.5528184	 -92.2158512                                                                                                                         
MO	29051010800	29131711	248611	      11.248	       0.096	 38.6046355	 -92.2639137                                                                                                                       
MO	29051010900	17193031	1928122	       6.638	       0.744	 38.6207602	 -92.2133415                                                                                                                      
MO	29051020198	98330904	5505646	      37.966	       2.126	 38.5128768	 -92.0781548                                                                                                                      
MO	29051020200	176816104	3824576	      68.269	       1.477	 38.4273004	 -92.2048694                                                                                                                     
MO	29051020300	217915131	969637	      84.138	       0.374	 38.4181602	 -92.3288821                                                                                                                      
MO	29051020400	53884956	215809	      20.805	       0.083	 38.5367643	 -92.2831353                                                                                                                       
MO	29051020500	167841875	86413	      64.804	       0.033	 38.5088485	 -92.4099662                                                                                                                       
MO	29051020600	165734937	4152097	      63.991	       1.603	 38.6344528	 -92.3634544                                                                                                                     
MO	29051020700	3111549	749016	       1.201	       0.289	 38.5746163	 -92.1646032                                                                                                                        
MO	29053950100	571971000	3048809	     220.839	       1.177	 38.8302201	 -92.6578319                                                                                                                     
MO	29053950200	31714639	1996603	      12.245	       0.771	 38.9642336	 -92.7042263                                                                                                                      
MO	29053950300	21134338	722518	       8.160	       0.279	 38.9562367	 -92.7659777                                                                                                                       
MO	29053950400	9296574	37049	       3.589	       0.014	 38.9440800	 -92.7204335                                                                                                                         
MO	29053950500	828621594	5629015	     319.933	       2.173	 38.8495532	 -92.9197444                                                                                                                     
MO	29055450101	196297710	496152	      75.791	       0.192	 38.1608003	 -91.4136951                                                                                                                      
MO	29055450102	215497300	158930	      83.204	       0.061	 38.1505661	 -91.1929142                                                                                                                      
MO	29055450200	785290947	714683	     303.203	       0.276	 37.9120761	 -91.2086380                                                                                                                      
MO	29055450301	148580333	1297385	      57.367	       0.501	 38.0520711	 -91.4717188                                                                                                                     
MO	29055450302	59066810	60638	      22.806	       0.023	 38.0699995	 -91.3834407                                                                                                                        
MO	29055450400	518376066	475717	     200.146	       0.184	 37.8958126	 -91.3892206                                                                                                                      
