USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17031420200	278188	0	       0.107	       0.000	 41.7834582	 -87.5935160                                                                                                                              
IL	17031420300	245119	0	       0.095	       0.000	 41.7832241	 -87.5986970                                                                                                                              
IL	17031420400	245128	0	       0.095	       0.000	 41.7831699	 -87.6035584                                                                                                                              
IL	17031420500	245980	0	       0.095	       0.000	 41.7831002	 -87.6084261                                                                                                                              
IL	17031420600	243609	0	       0.094	       0.000	 41.7830135	 -87.6132777                                                                                                                              
IL	17031420700	650530	0	       0.251	       0.000	 41.7766914	 -87.6106933                                                                                                                              
IL	17031420800	347603	0	       0.134	       0.000	 41.7769097	 -87.6032569                                                                                                                              
IL	17031421200	325744	0	       0.126	       0.000	 41.7706622	 -87.6089474                                                                                                                              
IL	17031430101	329510	0	       0.127	       0.000	 41.7698263	 -87.5739529                                                                                                                              
IL	17031430102	456691	542570	       0.176	       0.209	 41.7689534	 -87.5638136                                                                                                                         
IL	17031430200	666846	0	       0.257	       0.000	 41.7697314	 -87.5813483                                                                                                                              
IL	17031430300	408973	0	       0.158	       0.000	 41.7696911	 -87.5893536                                                                                                                              
IL	17031430400	545167	0	       0.210	       0.000	 41.7621776	 -87.5903215                                                                                                                              
IL	17031430500	337334	0	       0.130	       0.000	 41.7642842	 -87.5812736                                                                                                                              
IL	17031430600	328331	0	       0.127	       0.000	 41.7643854	 -87.5713747                                                                                                                              
IL	17031430700	189455	178320	       0.073	       0.069	 41.7652716	 -87.5608903                                                                                                                         
IL	17031430800	328071	0	       0.127	       0.000	 41.7607500	 -87.5712983                                                                                                                              
IL	17031430900	336518	0	       0.130	       0.000	 41.7606410	 -87.5811851                                                                                                                              
IL	17031431200	655295	0	       0.253	       0.000	 41.7553011	 -87.5711843                                                                                                                              
IL	17031431301	404077	0	       0.156	       0.000	 41.7535302	 -87.5601863                                                                                                                              
IL	17031431302	437420	0	       0.169	       0.000	 41.7583855	 -87.5627859                                                                                                                              
IL	17031431400	1075781	1126094	       0.415	       0.435	 41.7572976	 -87.5465269                                                                                                                       
IL	17031440101	377008	0	       0.146	       0.000	 41.7486271	 -87.6014512                                                                                                                              
IL	17031440102	627506	0	       0.242	       0.000	 41.7409356	 -87.6011636                                                                                                                              
IL	17031440201	531538	0	       0.205	       0.000	 41.7482101	 -87.6100746                                                                                                                              
IL	17031440202	781698	0	       0.302	       0.000	 41.7409599	 -87.6097620                                                                                                                              
IL	17031440300	1295080	0	       0.500	       0.000	 41.7437205	 -87.6195429                                                                                                                             
IL	17031440600	666621	0	       0.257	       0.000	 41.7326718	 -87.6191373                                                                                                                              
IL	17031440700	327461	0	       0.126	       0.000	 41.7347514	 -87.6096294                                                                                                                              
IL	17031440800	279073	0	       0.108	       0.000	 41.7317122	 -87.6033281                                                                                                                              
IL	17031440900	742630	0	       0.287	       0.000	 41.7286690	 -87.6090057                                                                                                                              
IL	17031450300	1366772	0	       0.528	       0.000	 41.7419438	 -87.5790892                                                                                                                             
IL	17031460100	2973319	2514283	       1.148	       0.971	 41.7479818	 -87.5393264                                                                                                                       
IL	17031460200	600207	0	       0.232	       0.000	 41.7413868	 -87.5470111                                                                                                                              
IL	17031460301	485920	0	       0.188	       0.000	 41.7400278	 -87.5563645                                                                                                                              
