USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06001422700	348098	0	       0.134	       0.000	 37.8679235	-122.2494910                                                                                                                              
CA	06001422800	408571	0	       0.158	       0.000	 37.8667875	-122.2599790                                                                                                                              
CA	06001422900	544282	0	       0.210	       0.000	 37.8678899	-122.2692470                                                                                                                              
CA	06001423000	730084	0	       0.282	       0.000	 37.8668441	-122.2771352                                                                                                                              
CA	06001423100	748653	0	       0.289	       0.000	 37.8658070	-122.2863197                                                                                                                              
CA	06001423200	456778	0	       0.176	       0.000	 37.8645164	-122.2936857                                                                                                                              
CA	06001423300	726625	0	       0.281	       0.000	 37.8573281	-122.2842016                                                                                                                              
CA	06001423400	755444	0	       0.292	       0.000	 37.8583735	-122.2758840                                                                                                                              
CA	06001423500	635744	0	       0.245	       0.000	 37.8593612	-122.2680480                                                                                                                              
CA	06001423601	523436	0	       0.202	       0.000	 37.8588898	-122.2587190                                                                                                                              
CA	06001423602	404545	0	       0.156	       0.000	 37.8631828	-122.2592684                                                                                                                              
CA	06001423700	728690	0	       0.281	       0.000	 37.8618284	-122.2490093                                                                                                                              
CA	06001423800	1072450	0	       0.414	       0.000	 37.8547522	-122.2440171                                                                                                                             
CA	06001423901	395614	0	       0.153	       0.000	 37.8522414	-122.2675674                                                                                                                              
CA	06001423902	309231	0	       0.119	       0.000	 37.8547567	-122.2573858                                                                                                                              
CA	06001424001	507529	0	       0.196	       0.000	 37.8503694	-122.2746228                                                                                                                              
CA	06001424002	327217	0	       0.126	       0.000	 37.8504771	-122.2815375                                                                                                                              
CA	06001425101	599623	2099471	       0.232	       0.811	 37.8382532	-122.3054128                                                                                                                        
CA	06001425102	746231	0	       0.288	       0.000	 37.8399900	-122.2946648                                                                                                                              
CA	06001425103	882684	0	       0.341	       0.000	 37.8426105	-122.2898382                                                                                                                              
CA	06001425104	1088891	0	       0.420	       0.000	 37.8326423	-122.2833382                                                                                                                             
CA	06001426100	3043950	0	       1.175	       0.000	 37.8216141	-122.2252882                                                                                                                             
CA	06001426200	1358205	0	       0.524	       0.000	 37.8246263	-122.2406411                                                                                                                             
CA	06001427100	1025446	168187	       0.396	       0.065	 37.7649090	-122.2299614                                                                                                                        
CA	06001427200	1329667	650377	       0.513	       0.251	 37.7808270	-122.2482550                                                                                                                        
CA	06001427300	1953880	861367	       0.754	       0.333	 37.7810489	-122.2662775                                                                                                                        
CA	06001427600	582861	0	       0.225	       0.000	 37.7778323	-122.2835979                                                                                                                              
CA	06001427700	999309	710016	       0.386	       0.274	 37.7681553	-122.2868948                                                                                                                         
CA	06001427800	831152	0	       0.321	       0.000	 37.7714922	-122.2690581                                                                                                                              
CA	06001427900	825214	0	       0.319	       0.000	 37.7698045	-122.2582454                                                                                                                              
CA	06001428000	525762	0	       0.203	       0.000	 37.7666414	-122.2475404                                                                                                                              
CA	06001428100	994804	38330	       0.384	       0.015	 37.7589136	-122.2346068                                                                                                                          
CA	06001428200	1362068	804737	       0.526	       0.311	 37.7533497	-122.2396803                                                                                                                        
CA	06001428301	4297936	1597302	       1.659	       0.617	 37.7344929	-122.2414385                                                                                                                       
CA	06001428302	2234426	474770	       0.863	       0.183	 37.7439709	-122.2497790                                                                                                                        
CA	06001428400	810521	1168052	       0.313	       0.451	 37.7564138	-122.2559068                                                                                                                        
CA	06001428500	624197	383522	       0.241	       0.148	 37.7601324	-122.2593887                                                                                                                         
CA	06001428600	898967	1080420	       0.347	       0.417	 37.7662730	-122.2738461                                                                                                                        
CA	06001428700	7749248	4534587	       2.992	       1.751	 37.7801283	-122.3050028                                                                                                                       
CA	06001430101	25483201	0	       9.839	       0.000	 37.7272535	-122.0152596                                                                                                                            
CA	06001430102	76806914	3505953	      29.655	       1.354	 37.7674603	-122.0500302                                                                                                                      
CA	06001430200	5329284	0	       2.058	       0.000	 37.7216743	-122.0615667                                                                                                                             
CA	06001430300	2963569	234375	       1.144	       0.090	 37.7229094	-122.0837445                                                                                                                        
CA	06001430400	2405487	508362	       0.929	       0.196	 37.7212084	-122.1010957                                                                                                                        
CA	06001430500	2610240	0	       1.008	       0.000	 37.7049108	-122.1091516                                                                                                                             
CA	06001430600	2260553	0	       0.873	       0.000	 37.7041735	-122.0969654                                                                                                                             
CA	06001430700	1322635	0	       0.511	       0.000	 37.7060949	-122.0822257                                                                                                                             
CA	06001430800	1806078	0	       0.697	       0.000	 37.6992244	-122.0650347                                                                                                                             
CA	06001430900	1096552	0	       0.423	       0.000	 37.6982784	-122.0828322                                                                                                                             
CA	06001431000	954199	0	       0.368	       0.000	 37.6929313	-122.0784575                                                                                                                              
CA	06001431100	982918	0	       0.380	       0.000	 37.6881143	-122.0672948                                                                                                                              
CA	06001431200	2021148	26007	       0.780	       0.010	 37.6871184	-122.0834504                                                                                                                         
CA	06001432100	1105772	0	       0.427	       0.000	 37.7360495	-122.1466048                                                                                                                             
CA	06001432200	1023816	0	       0.395	       0.000	 37.7330544	-122.1562452                                                                                                                             
CA	06001432300	1042401	0	       0.402	       0.000	 37.7308613	-122.1656484                                                                                                                             
CA	06001432400	6433703	1385676	       2.484	       0.535	 37.7087256	-122.1899737                                                                                                                       
CA	06001432501	1362361	0	       0.526	       0.000	 37.7167162	-122.1661481                                                                                                                             
CA	06001432502	816163	0	       0.315	       0.000	 37.7234549	-122.1734789                                                                                                                              
CA	06001432600	1673449	0	       0.646	       0.000	 37.7226922	-122.1551539                                                                                                                             
CA	06001432700	828606	0	       0.320	       0.000	 37.7270702	-122.1428437                                                                                                                              
CA	06001432800	3869500	0	       1.494	       0.000	 37.7212280	-122.1238120                                                                                                                             
